movie_id,rating_avg,rating_count
1,3.8881574960610834,66008
2,3.2369531849577897,26060
3,3.1755501064722202,15497
4,2.8757128480375713,2981
5,3.079564818455892,15258
6,3.841763756945689,27895
7,3.372105297882167,15157
8,3.1291913214990137,1521
9,3.008365362875876,4423
10,3.431840536054589,32534
11,3.6605905006418484,19475
12,2.6721787709497207,4475
13,3.326441784548422,1838
14,3.4308065226972233,6807
15,2.72704,3125
16,3.7955110396256764,20517
17,3.9522270706405402,24292
18,3.409031198686371,6090
19,2.633983148851809,24212
20,2.894070547500541,4621
21,3.572137060414788,25507
22,3.3006076546345002,11026
23,3.157631359466222,4796
24,3.1803745482422516,9131
25,3.6675128965433204,24619
26,3.614058355437666,3016
27,3.424864864864865,1850
28,4.039876397881106,3398
29,3.920885116702031,9897
30,3.63690036900369,1355
31,3.238314143323595,11638
32,3.888769242293719,53398
33,3.0555555555555554,72
34,3.6205942448493103,35238
35,3.5015964240102173,1566
36,3.9315818281335524,23751
37,2.938888888888889,90
38,2.8874269005847952,684
39,3.4133602956558122,28682
40,3.6509533898305087,944
41,3.850029579964504,5071
42,3.0489067894131185,2607
43,3.4679969879518073,2656
44,2.6292445482866045,12840
45,3.372715946843854,9632
46,3.2690225563909774,3325
47,4.068128299593604,52658
48,2.9566557624559637,15896
49,3.564885496183206,262
50,4.300188962561792,59271
51,2.588235294117647,34
52,3.5355968272393112,10338
53,3.70125786163522,159
54,2.8533333333333335,1050
55,3.225922131147541,976
56,2.0602409638554215,83
57,3.3225677830940987,2508
58,3.965010863864539,13347
59,3.600985221674877,203
60,3.0723876628556237,7522
61,3.3378158109209455,2454
62,3.750324282255275,23128
63,3.114120283899888,2677
64,2.8375228519195614,2188
65,2.4033402561439945,5778
66,2.159487776484284,2577
67,3.352272727272727,176
68,3.4558599695586,1314
69,3.5509585289514867,5112
70,3.3079605263157896,15200
71,2.354518736223365,1361
72,3.481254781943382,1307
73,3.794658493870403,3426
74,3.2990041928721174,3816
75,2.459731543624161,596
76,3.016246953696182,3693
77,3.4383259911894273,227
78,3.1737089201877935,1278
79,3.1614385297845375,6312
80,3.7249163879598663,598
81,3.2703649635036496,3425
82,4.010845588235294,2720
83,3.6491085899513775,617
84,3.3802395209580838,167
85,3.538339222614841,2830
86,3.485175495966863,4587
87,2.4075937785910337,1093
88,3.125899897154611,5834
89,3.1365479293368086,3453
90,3.34,225
92,2.8513071895424837,2448
93,2.5143584993052337,2159
94,3.5320542279411766,4352
95,3.1123652554288395,25604
96,3.6888454011741683,511
97,3.984981684981685,2730
98,2.6277777777777778,90
99,3.1183006535947713,765
100,3.232303877366997,4436
101,3.7760838000414854,4821
102,2.440532825880114,2102
103,3.2730290456431534,1205
104,3.396511627906977,21500
105,3.3279824718297264,11182
106,3.402877697841727,139
107,3.1958545364279507,8057
108,3.036764705882353,136
109,2.3333333333333335,18
110,4.016057252826558,66512
111,4.0893090376222485,31391
112,3.4000675472830983,13324
113,3.1243478260869564,1150
114,3.622047244094488,254
115,3.38,50
116,3.9205967276227143,1039
117,3.5903890160183067,1311
118,3.008510638297872,1175
119,2.804428044280443,271
120,2.8825301204819276,166
121,3.738927738927739,858
122,2.8624662907575384,4079
123,3.9857716161984675,2741
124,3.4882005899705013,339
125,3.741662110442865,3658
126,2.3470124753775443,1523
127,3.215686274509804,51
128,3.475,80
129,3.17,200
130,3.125,44
131,3.3055555555555554,198
132,2.7673784643343935,2201
133,2.5,21
134,3.635135135135135,37
135,2.9976544175136826,7674
136,3.564814814814815,108
137,3.3016528925619837,242
138,3.2804054054054053,148
139,3.1041666666666665,48
140,3.3099591691816084,5633
141,3.5228261714196907,25738
142,3.058139534883721,43
143,2.2,15
144,3.4658871486805407,4661
145,3.2701955495616994,14830
146,2.8983870967741936,620
147,3.5959331588483994,4967
148,2.90994623655914,372
149,3.688380281690141,1136
150,3.884030583809391,57416
151,3.5258391246488245,13526
152,3.0959885386819486,698
153,2.906473407180454,38187
